country,pl,plf,reg,ts,user
RU,33,Android,1524236483962,1586071961807,11519654prod-eu
BD,15,Android,1554445599971,1586069027258,12874552prod-in
RU,4,Android,1541830334147,1586115532313,15658355prod-eu
MY,10,Android,1511980738072,1586079908467,2392679prod-in
UZ,30,Android,1576586532857,1586048311768,25984495prod-eu
IQ,20,Android,1580638361359,1586079395068,27474667prod-eu
IQ,3,Android,1585874125781,1586047982976,28982521prod-eu
CN,25,iOS,1581520087659,1586049022060,9857548prod-as
MY,17,Android,1579485495595,1586048304255,23366609prod-in
EG,19,Android,1584193357007,1586098880237,24720910prod-in
RU,3,Android,1585655553622,1586096498103,28913683prod-eu
GP,20,Android,1538022138907,1586045473203,7751265prod-us
HK,12,iOS,1585043090176,1586063235188,10201694prod-as
CN,10,Android,1585534503878,1586059550759,10248528prod-as
RU,8,Android,1562007353960,1586044914549,21178753prod-eu
PH,8,Android,1585833728307,1586059228901,25341009prod-in
RU,24,Android,1583936118350,1586057616679,28373744prod-eu
RU,5,Android,1584010309865,1586078670015,28392161prod-eu
JP,32,Android,1529168137608,1586046324745,4470677prod-as
CN,7,iOS,1535288824435,1586044990911,5198120prod-as
DE,29,Android,1525845951503,1586062583096,8011772prod-in
CN,30,iOS,1583034731179,1586047959311,10000132prod-as
CN,24,Android,1584563644099,1586044817008,10145223prod-as
TN,10,Android,1583380061787,1586079995557,24476833prod-in
VN,16,Android,1583661986049,1586052184072,24567271prod-in
IN,5,Android,1585234080235,1586056995201,25107415prod-in
IN,8,Android,1585730074250,1586057859576,25299095prod-in
ID,3,Android,1585912132525,1586059204622,25369280prod-in
FR,13,Android,1576731336341,1586067822096,26032671prod-eu
IR,5,Android,1585642581199,1586050281126,28908672prod-eu
CN,33,iOS,1558081135913,1586052909518,7177879prod-as
CN,12,iOS,1582970358616,1586045038474,9994611prod-as
CN,26,iOS,1584527311434,1586055193581,10140910prod-as
CN,1,Android,1585993694544,1586086642710,10307798prod-as
CN,4,Android,1585995100382,1586050339678,10308633prod-as
CI,3,iOS,1585880228877,1586091484083,25354700prod-in
PH,4,Android,1585934285408,1586045401247,25378466prod-in
ID,3,Android,1586073086123,1586073086131,25426562prod-in
UA,26,Android,1577106874203,1586046432018,26194788prod-eu
RU,18,Android,1584287297513,1586051523801,28478702prod-eu
CN,33,iOS,1545482385195,1586046707665,5969371prod-as
CN,15,iOS,1582770761381,1586044824112,9975830prod-as
TH,20,iOS,1585206783246,1586075928491,10218942prod-as
CN,31,Android,1585666564214,1586046725466,10260758prod-as
MY,27,Android,1577693834548,1586045164595,22652330prod-in
IN,12,Android,1585110674168,1586056121001,25050549prod-in
ID,3,iOS,1586073783791,1586073783798,25426901prod-in
UA,18,Android,1582374062939,1586058824927,27947983prod-eu
DE,19,Android,1584360149656,1586045808737,28499324prod-eu
CN,16,iOS,1568159993566,1586050384354,8434224prod-as
CN,14,iOS,1581670688152,1586068213481,9871322prod-as
CN,10,Android,1585484873213,1586044903760,10245543prod-as
CN,3,Android,1586051853364,1586051853387,10321502prod-as
PH,24,Android,1563283106655,1586048864810,17024370prod-in
IN,4,Android,1585898616499,1586080292871,25362591prod-in
IN,5,Android,1585909614403,1586053754542,25368039prod-in
DE,17,Android,1515766465906,1586083516466,8055674prod-eu
TR,13,Android,1552843187105,1586045930905,18108547prod-eu
VN,24,iOS,1580878137647,1586060729790,23746747prod-in
NG,8,Android,1584721383960,1586066464874,24898736prod-in
PL,3,Android,1586021416246,1586070699416,29023584prod-eu
TR,30,Android,1510996000228,1586045844560,397884prod-eu
CN,3,iOS,1585973143999,1586045940900,10297305prod-as
US,10,Android,1563890933860,1586047036188,11853751prod-us
CN,30,Android,1566746108148,1586057553608,12554408prod-us
NG,10,Android,1581649229288,1586045551470,23991538prod-in
